ПРЕДМЕТ                                     | ПРЕПОДАВАТЕЛЬ             | ДОЛЖНОСТЬ                 | ГРУППА          | ДАТА        
Математика                                  | Николаев                  | Старший преподаватель     | ЭК-301          | 15.01.2027  
Физика                                      | Орлов                     | Ассистент                 | НЕТ ДАННЫХ      | 20.01.2025  
Физика                                      | Орлов                     | Ассистент                 | ПМИ-202         | 20.01.2026  
Физика                                      | Орлов                     | Ассистент                 | ЮР-101          | 20.01.2027  
Информатика                                 | Андреев                   | Доцент                    | НЕТ ДАННЫХ      | 25.01.2025  
Информатика                                 | Андреев                   | Доцент                    | ЭК-301          | 25.01.2026  
Информатика                                 | Андреев                   | Доцент                    | ФИЗ-201         | 25.01.2027  
История                                     | Макаров                   | Профессор                 | ЮР-101          | 10.06.2026  
История                                     | Макаров                   | Профессор                 | ИСТ-101         | 10.06.2027  
Философия                                   | Никитин                   | Старший преподаватель     | ЭК-301          | 12.06.2025  
Философия                                   | Никитин                   | Старший преподаватель     | ФИЗ-201         | 12.06.2026  
Философия                                   | Никитин                   | Старший преподаватель     | ИВТ-101         | 12.06.2027  
Английский язык                             | Захаров                   | Ассистент                 | ЮР-101          | 14.06.2025  
Английский язык                             | Захаров                   | Ассистент                 | ИСТ-101         | 14.06.2026  
Английский язык                             | Захаров                   | Ассистент                 | ИВТ-102         | 14.06.2027  
Программирование                            | Зайцев                    | Доцент                    | ФИЗ-201         | НЕТ ДАННЫХ  
Программирование                            | Зайцев                    | Доцент                    | ИВТ-101         | 16.06.2026  
Программирование                            | Зайцев                    | Доцент                    | ПМИ-201         | 16.06.2027  
Базы данных                                 | Соловьев                  | Профессор                 | ИСТ-101         | 18.06.2025  
Базы данных                                 | Соловьев                  | Профессор                 | ИВТ-102         | 18.06.2026  
Базы данных                                 | Соловьев                  | Профессор                 | ПМИ-202         | 18.06.2027  
Экономика                                   | Борисов                   | Старший преподаватель     | ИВТ-101         | 20.06.2025  
Экономика                                   | Борисов                   | Старший преподаватель     | ПМИ-201         | 20.06.2026  
Экономика                                   | Борисов                   | Старший преподаватель     | ЭК-301          | 20.06.2027  
Право                                       | НЕТ ДАННЫХ                | НЕТ ДАННЫХ                | ИВТ-102         | 22.06.2025  
Право                                       | НЕТ ДАННЫХ                | НЕТ ДАННЫХ                | ПМИ-202         | 22.06.2026  
Программирование на языках высокого уровня  | Барчев                    | Старший преподаватель     | М7О-306БВ-23    | 25.01.2026  
